pais,continente,suma_de_muertes,suma_de_casos,poblacion,EPC_2020,EPC_2019
Afghanistan,Asia,1971,49273,38041757,80.29,74.23
Albania,Europe,1003,48530,2862427,396.88,367.76
Algeria,Africa,2596,92102,43053054,206.04,235.99
Andorra,Europe,79,7338,76177,3269.3,3026.6
Angola,Africa,371,16188,31825299,55.05,64.66
Antigua_and_Barbuda,America,4,148,97115,875.7,801.54
Argentina,America,40766,1498160,44780675,895.08,1016.23
Armenia,Europe,2503,148682,2957728,551.54,549.47
Australia,Oceania,908,28031,25203200,5958.77,5545.91
Austria,Europe,4400,320036,8858775,5566.97,5263.39
Azerbaijan,Europe,1922,175874,10047719,242.76,196.88
Bahamas,America,163,7674,389486,1824.88,1898.86
Bahrain,Asia,348,89143,1641164,1105.32,1024.39
Bangladesh,Asia,7052,490533,163046173,50.66,47.67
Barbados,America,7,292,287021,1238.59,1172.41
Belarus,Europe,1263,160295,9452409,408.09,390.25
Belgium,Europe,17951,608001,11455519,5104.03,5049.58
Belize,America,195,9295,390351,279.66,298.96
Benin,Africa,44,3090,11801151,30.64,29.38
Bhutan,Asia,0,438,763094,133.7,115.32
Bolivia,America,9018,147150,11513102,246.2,239.18
Bosnia_and_Herzegovina,Europe,3336,101117,3300998,591.41,543.98
Botswana,Africa,37,12501,2303703,358.91,408.9
Brazil,America,181402,6901952,211049519,705.0,850.43
Brunei_Darussalam,Asia,3,152,433296,650.48,674.65
Bulgaria,Europe,5688,179449,7000039,856.7,697.9
Burkina_Faso,Africa,71,4030,20321383,54.18,41.07
Burundi,Africa,1,729,11530577,27.07,22.96
Cambodia,Asia,0,359,16486542,112.21,114.49
Cameroon,Africa,443,25143,25876387,58.1,56.19
Canada,America,13431,460743,37411038,5668.35,5115.98
Cape_Verde,Africa,110,11357,549936,196.27,171.77
Central_African_Republic,Africa,63,4935,4745179,40.11,33.94
Chad,Africa,102,1770,15946882,35.73,31.3
Chile,America,15886,571919,18952035,1280.63,1369.48
China,Asia,4739,92021,1433783692,583.43,539.62
Colombia,America,39053,1425774,50339443,462.23,500.73
Comoros,Africa,7,628,850891,88.67,77.8
Congo,Africa,99,6049,5380504,80.81,58.9
Costa_Rica,America,1895,150947,5047561,953.08,914.88
Croatia,Europe,2640,175886,4076246,1094.53,1040.09
Cuba,America,137,9423,11333484,1186.16,1013.1
Cyprus,Europe,78,15101,875899,2362.4,2093.06
Czechia,Europe,9609,581079,10649800,2119.27,1803.05
Democratic_Republic_of_the_Congo,Africa,355,14512,86790568,21.25,19.86
Denmark,Europe,941,109758,5806081,6442.4,6058.83
Djibouti,Africa,61,5728,973557,62.75,62.31
Dominica,America,0,87,71808,420.02,442.51
Dominican_Republic,America,2361,154692,10738957,354.09,346.51
Ecuador,America,13875,202110,17373657,471.88,484.37
Egypt,Africa,6920,121575,100388076,150.91,145.31
El_Salvador,America,1205,41880,6453550,354.49,377.03
Equatorial_Guinea,Africa,85,5185,1355982,246.77,231.84
Eritrea,Africa,0,711,3497117,24.7,25.98
Estonia,Europe,149,18055,1324820,1789.03,1599.35
Eswatini,Africa,127,6768,1148133,222.53,274.95
Ethiopia,Africa,1806,116769,112078727,28.7,26.23
Fiji,Oceania,2,46,889955,231.98,253.74
Finland,Europe,453,30810,5517919,4736.34,4460.11
France,Europe,57911,2376852,67012883,4755.44,4504.48
Gabon,Africa,63,9330,2172578,228.02,208.29
Gambia,Africa,123,3782,2347696,26.25,22.83
Georgia,Europe,1839,191063,3996762,354.73,308.57
Germany,Europe,21975,1337078,83019213,5936.25,5486.99
Ghana,Africa,327,53014,30417858,87.44,93.19
Greece,Europe,3625,124534,10724599,1675.12,1569.03
Grenada,America,118,7106,112002,469.01,487.6
Guatemala,America,4541,136457,17581476,289.13,278.55
Guinea,Africa,79,13420,12771246,41.62,42.68
Guinea_Bissau,Africa,44,2444,1920917,68.05,54.02
Guyana,America,155,5920,782775,377.87,317.6
Haiti,America,234,9565,11263079,44.18,49.09
Honduras,America,2975,114359,9746115,212.7,184.04
Hungary,Europe,7130,283870,9772756,1172.84,1054.28
Iceland,Europe,28,5557,356991,5651.73,5865.23
India,Asia,143355,9884100,1366417756,64.03,60.95
Indonesia,Asia,18819,617820,270625567,133.26,119.5
Iran,Asia,52196,1108269,82913893,338.25,378.47
Iraq,Asia,12579,574634,39309789,245.48,239.58
Ireland,Europe,2124,76185,4904240,6098.27,5462.73
Israel,Asia,2999,357859,8519373,3637.03,3354.45
Italy,Europe,64520,1843712,60359546,3061.87,2910.65
Jamaica,America,273,11710,2948277,324.48,343.06
Japan,Asia,2585,179653,126860299,4436.24,4463.28
Jordan,Asia,3365,259614,10101697,284.53,294.19
Kazakhstan,Asia,2552,186277,18551428,338.3,270.01
Kenya,Africa,1587,91892,52573967,86.68,86.07
Kuwait,Asia,911,146218,4207077,1542.32,1643.57
Kyrgyzstan,Asia,1312,77674,6415851,63.69,63.05
Laos,Asia,0,41,7169456,52.16,67.82
Latvia,Europe,349,25675,1919968,1313.35,1183.12
Lebanon,Asia,1200,146520,6855709,522.42,782.21
Lesotho,Africa,44,2250,2125267,96.73,130.44
Liberia,Africa,83,1676,4937374,101.29,52.03
Libya,Africa,1299,90779,6777453,,
Lithuania,Europe,825,95021,2794184,1520.39,1369.98
Luxembourg,Europe,396,41272,613894,6785.86,6221.74
Madagascar,Africa,258,17638,26969306,17.22,15.89
Malawi,Africa,187,6066,18628749,42.54,41.78
Malaysia,Asia,415,83475,31949789,414.96,427.46
Maldives,Asia,48,13368,530957,825.57,851.51
Mali,Africa,194,5814,19658023,28.85,32.17
Malta,Europe,166,11101,493559,3135.41,2943.63
Marshall_Islands,Oceania,0,4,58791,707.48,782.24
Mauritania,Africa,222,10780,4525698,63.3,60.75
Mauritius,Africa,10,515,1269670,569.43,670.97
Mexico,America,113953,1250044,127575529,538.52,552.7
Monaco,Europe,679056,33929649,33085,7812.29,7730.6
Mongolia,Asia,0,912,3225166,188.57,197.55
Montenegro,Europe,582,41426,622182,866.17,732.35
Morocco,Africa,6624,399609,36471766,193.1,177.25
Mozambique,Africa,142,16954,30366043,34.37,40.41
Myanmar,Asia,2268,108342,54045422,72.04,61.57
Namibia,Africa,160,16536,2494524,378.42,432.15
Nepal,Asia,1698,248423,28608715,58.31,52.83
Netherlands,Europe,10034,612746,17282163,5858.42,5340.61
New_Zealand,Oceania,25,1740,4783062,4223.22,4085.79
Nicaragua,America,162,5887,6545503,161.2,161.99
Niger,Africa,80,2258,23310719,34.85,31.22
Nigeria,Africa,1197,73175,200963603,69.76,69.68
North_Macedonia,Europe,2121,73638,2077132,452.97,421.39
Norway,Europe,387,40022,5328212,7704.44,8007.36
Oman,Asia,1471,126240,4974992,855.3,728.25
Pakistan,Asia,8832,440787,216565317,38.18,37.22
Panama,America,3562,211352,4246440,1358.09,1340.14
Papua_New_Guinea,Oceania,8,725,8776119,56.31,60.31
Paraguay,America,1953,93582,7044639,410.89,415.89
Peru,America,36677,984973,32510462,388.49,366.56
Philippines,Asia,8733,449400,108116622,166.45,142.24
Poland,Europe,22864,1135676,37972812,1025.98,1014.04
Portugal,Europe,5559,348744,10276617,2346.33,2221.73
Qatar,Asia,240,140961,2832071,1997.79,2012.23
Romania,Europe,13385,556335,19414458,809.59,738.56
Russia,Europe,46941,2653928,145872260,771.32,654.0
Rwanda,Africa,56,6659,12626938,57.91,51.19
Saint_Kitts_and_Nevis,America,0,27,52834,1050.64,1204.34
Saint_Lucia,America,4,275,182795,574.38,491.41
Saint_Vincent_and_the_Grenadines,America,0,98,112002,402.06,369.37
San_Marino,Europe,51,1947,34453,3842.77,3854.1
Sao_Tome_and_Principe,Africa,17,1009,215048,158.96,106.27
Saudi_Arabia,Asia,6048,359888,34268529,1355.72,1279.69
Senegal,Africa,349,17075,16296362,76.78,65.75
Serbia,Europe,2331,266432,6963764,670.19,641.03
Seychelles,Europe,0,187,64468,781.52,769.75
Sierra_Leone,Africa,75,2440,7813207,46.02,46.25
Singapore,Asia,29,58320,5804343,3367.76,2826.01
Slovakia,Europe,1175,132984,5450421,1393.62,1342.07
Slovenia,Europe,1459,96314,2080908,2417.21,2219.1
Solomon_Islands,Oceania,0,17,669821,106.61,103.72
South_Africa,Africa,23276,860964,58558267,492.21,551.44
South_Sudan,Africa,62,3206,11062114,47.68,34.99
Spain,Europe,47624,1730575,46937060,2899.02,2716.83
Sri_Lanka,Asia,152,32790,21323734,157.91,160.31
Sudan,Africa,1347,21386,42813237,23.34,35.51
Suriname,America,117,5353,581363,464.22,611.95
Sweden,Europe,7514,320098,10230185,6003.09,5652.99
Switzerland,Europe,5378,372329,8544527,10085.46,9341.06
Tajikistan,Asia,88,12704,9321023,69.69,61.77
Thailand,Asia,60,4237,69625581,305.09,289.18
Timor_Leste,Asia,0,31,1293120,120.87,79.26
Togo,Africa,66,3251,8082359,54.17,50.16
Trinidad_and_Tobago,America,122,6879,1394969,1045.73,1071.9
Tunisia,Africa,3894,111361,11694721,246.6,209.53
Turkey,Europe,16199,995471,82003882,395.24,397.41
Turks_and_Caicos_islands,America,6,769,38194,483.8,488.62
Uganda,Africa,221,27532,44269587,36.88,33.4
Ukraine,Europe,15247,900666,43993643,269.73,246.91
United_Arab_Emirates,Asia,617,184949,9770526,2191.81,1990.28
United_Kingdom,Europe,64170,1849403,66647112,4906.24,4268.68
United_Republic_of_Tanzania,Africa,21,509,58005461,31.39,39.56
United_States_of_America,America,299177,16256754,329064917,11758.42,10658.4
Uruguay,America,92,9708,3461731,1427.14,1677.1
Uzbekistan,Asia,612,75094,32981715,120.5,98.59
Vanuatu,Oceania,0,1,299882,116.56,101.97
Venezuela,America,949,107177,28515829,152.76,113.29
Vietnam,Asia,35,1397,96462108,154.24,173.65
Zambia,Africa,367,18274,17861034,60.44,85.64
Zimbabwe,Africa,307,11246,14645473,50.68,54.81
